Truck,TimeStamp,X,Y
T136,05 Jun 2024 15:42:46:000,520398.2588,7502153.643
T136,05 Jun 2024 15:43:11:000,520295.6023,7502255.246
T136,05 Jun 2024 15:43:36:000,520127.0693,7502200.119
T136,05 Jun 2024 15:44:01:000,519841.4485,7502126.692
T136,05 Jun 2024 15:44:26:000,519470.1657,7502047.217
T136,05 Jun 2024 15:44:51:000,519101.7721,7501992.328
T136,05 Jun 2024 15:45:16:000,518719.1199,7501949.747
T136,05 Jun 2024 15:45:42:000,518330.734,7501885.639
T136,05 Jun 2024 15:46:07:000,518156.6886,7501990.386
T136,05 Jun 2024 15:46:32:000,518068.2516,7502055.06
T136,05 Jun 2024 15:46:58:000,517848.3453,7502009.192
T136,05 Jun 2024 15:47:22:000,517705.5383,7501969.383
T136,05 Jun 2024 15:47:48:000,517719.6182,7501797.178
T136,05 Jun 2024 15:48:12:000,517759.4012,7501631.093
T136,05 Jun 2024 15:48:38:000,517845.0136,7501594.098
T136,05 Jun 2024 15:49:02:000,517907.7844,7501557.128
T136,05 Jun 2024 15:49:28:000,517913.4699,7501535.598
T136,05 Jun 2024 15:49:52:000,517913.4699,7501535.598
T136,05 Jun 2024 15:50:17:000,517913.4699,7501535.598
T136,05 Jun 2024 15:50:42:000,517913.4699,7501535.598
T136,05 Jun 2024 15:51:07:000,517913.4699,7501535.598
T136,05 Jun 2024 15:51:32:000,517913.4699,7501535.598
T136,05 Jun 2024 15:51:57:000,517913.4699,7501535.598
T136,05 Jun 2024 15:54:27:000,517913.4699,7501535.598
T136,05 Jun 2024 15:54:59:000,517913.4699,7501535.598
T136,05 Jun 2024 15:55:32:000,517913.4699,7501535.598
T136,05 Jun 2024 15:56:05:000,517913.4699,7501535.598
T136,05 Jun 2024 15:56:38:000,517913.4699,7501535.598
T136,05 Jun 2024 15:57:11:000,517913.4699,7501535.598
T136,05 Jun 2024 15:57:44:000,517913.4699,7501535.598
T136,05 Jun 2024 15:58:17:000,517913.4699,7501535.598
T136,05 Jun 2024 15:58:50:000,517913.4699,7501535.598
