area Id,x,y,z,heading_circle,from_loc,to_loc
1611665744792,-6363713,-1090160,541286,-1077,INT_115,INT_30
1611665744792,-6359214,-1090939,540955,-1789,INT_115,INT_30
1611665744792,-6354758,-1091951,540580,-2330,INT_115,INT_30
1611665744792,-6350440,-1093241,540220,-3029,INT_115,INT_30
1611665744792,-6342148,-1096471,539454,-4046,INT_115,INT_30
1611665744792,-6338098,-1098291,538947,-4406,INT_115,INT_30
1611665744792,-6334133,-1100305,538525,-4903,INT_115,INT_30
1611665744792,-6326479,-1104844,537726,-5784,INT_115,INT_30
1611665744792,-6319308,-1109967,536958,-6676,INT_115,INT_30
1611665744792,-6306682,-1120382,535663,-7371,INT_115,INT_30
1611665744792,-6289470,-1135678,534872,-7332,INT_115,INT_30
1611665744792,-6284367,-1139614,534713,-6640,INT_115,INT_30
1611665894699,-6314439,-1161659,534830,24837,INT_30,INT_115
1611665894699,-6336408,-1144283,535377,25813,INT_30,INT_115
1611665894699,-6349397,-1134462,536479,26239,INT_30,INT_115
1611665894699,-6355241,-1130945,537165,27382,INT_30,INT_115
1611665894699,-6358335,-1129404,537538,27948,INT_30,INT_115
1611665894699,-6361506,-1128086,537895,28659,INT_30,INT_115
1611665894699,-6368057,-1126127,538608,30025,INT_30,INT_115
1611665894699,-6374745,-1125069,539318,31436,INT_30,INT_115
1611665894699,-6381571,-1125004,539884,-32574,INT_30,INT_115
1611665894699,-6388673,-1125747,540566,-31503,INT_30,INT_115
1611665894699,-6396077,-1127352,541224,-30401,INT_30,INT_115
1611665894699,-6407807,-1130620,542336,-29741,INT_30,INT_115
1611665894699,-6411643,-1131928,542737,-29341,INT_30,INT_115
1611665894699,-6418994,-1135094,543441,-28295,INT_30,INT_115
1611665894699,-6422873,-1136820,543855,-28402,INT_30,INT_115
1611665894699,-6430630,-1141006,544637,-27397,INT_30,INT_115
1611665894699,-6438111,-1145573,545488,-26863,INT_30,INT_115
1611665894699,-6460382,-1160406,548135,-26704,INT_30,INT_115
1611665894699,-6482205,-1175257,550363,-26451,INT_30,INT_115
1611665894699,-6489290,-1180297,550630,-26172,INT_30,INT_115
1611665894699,-6499779,-1188781,550731,-25446,INT_30,INT_115
1611665894699,-6520827,-1206648,550726,-25529,INT_30,INT_115
1611665894699,-6530825,-1215095,550656,-25345,INT_30,INT_115
1611665894699,-6552113,-1234281,550477,-25118,INT_30,INT_115
1611665894699,-6563447,-1244467,550409,-25153,INT_30,INT_115
1611665894699,-6580443,-1257393,550509,-25715,INT_30,INT_115
1611665894699,-6583977,-1260261,550420,-26822,INT_30,INT_115
